合川町,あいかわまち
若美町,わかみまち
脇野沢村,わきのさわむら
涌谷町,わくやちょう
和光市,わこうし
輪島市,わじまし
和島村,わしまむら
鷲宮町,わしみやまち
和田町,わだまち
和田村,わだむら
度会郡,わたらいぐん
度会町,わたらいちょう
亘理郡,わたりぐん
亘理町,わたりちょう
稚内市,わっかないし
和寒町,わっさむちょう
輪之内町,わのうちちょう
蕨市,わらびし
和良村,わらむら
