アーチェリー,あーちぇりー
先約,せんやく
全裸,ぜんら
戦乱,せんらん
千里眼,せんりがん
戦慄,せんりつ
戦略,せんりゃく
前輪,ぜんりん
先例,せんれい
前例,ぜんれい
前歴,ぜんれき
戦列,せんれつ
前列,ぜんれつ
線路,せんろ
素案,そあん
沿い,ぞい
訴因,そいん
草,そう
象,ぞう
倉庫,そうこ
操作,そうさ
惣菜パン,そうざいぱん
相似,そうじ
掃除機,そうじき
想像,そうぞう
相談,そうだん
装置,そうち
ソウル,そうる
添え書き,そえがき
ソース,そーす
疎開,そかい
疎外,そがい
組閣,そかく
則,そく
属,ぞく
即位,そくい
促音,そくおん
続柄,ぞくがら
賊軍,ぞくぐん
俗語,ぞくご
即座,そくざ
息災,そくさい
側室,そくしつ
促進,そくしん
続伸,ぞくしん
促成,そくせい
属性,ぞくせい
即席,そくせき
俗説,ぞくせつ
側線,そくせん
速達,そくたつ
即断,そくだん
測地,そくち
測定,そくてい
速度,そくど
即売,そくばい
束縛,そくばく
即発,そくはつ
続発,ぞくはつ
側壁,そくへき
続編,ぞくへん
側面,そくめん
続落,ぞくらく
狙撃,そげき
底,そこ
齟齬,そご
底上げ,そこあげ
祖国,そこく
底無し,そこなし
底抜け,そこぬけ
底値,そこね
底冷え,そこびえ
底光り,そこびかり
そこら,そこら
素材,そざい
阻止,そし
組織,そしき
素質,そしつ
粗品,そしな
疎水,そすい
組成,そせい
租税,そぜい
礎石,そせき
祖先,そせん
措置,そち
そつ,そつ
訴追,そつい
卒園,そつえん
卒論,そつろん
袖,そで
袖口,そでぐち
外,そと
外側,そとがわ
外法,そとのり
卒塔婆,そとば
外堀,そとぼり
外回り,そとまわり
其方,そなた
苑,その
その後,そのご
その頃,そのころ
其先,そのさき
その他,そのた
其分,そのぶん
其辺,そのへん
其道,そのみち
其の者,そのもの
傍,そば
祖父,そふ
ソフィア,そふぃあ
ソフトクリーム,そふとくりーむ
ソフトドリンク,そふとどりんく
祖父母,そふぼ
素振り,そぶり
祖母,そぼ
そぼろ,そぼろ
ソマリア,そまりあ
染め物,そめもの
空,そら
空色,そらいろ
空言,そらごと
空似,そらに
空豆,そらまめ
空耳,そらみみ
橇,そり
それ,それ
祖霊,それい
それなり,それなり
十露盤,そろばん
村営,そんえい
損益,そんえき
損壊,そんかい
損害,そんがい
村議,そんぎ
損金,そんきん
尊敬,そんけい
存在,そんざい
存在詞,そんざいし
尊師,そんし
損失,そんしつ
存続,そんぞく
損得,そんとく
村落,そんらく
存立,そんりつ
他愛,たあい
ダーツ,だーつ
たい,たい
代,だい
大安,たいあん
代案,だいあん
退位,たいい
帯域,たいいき
体育,たいいく
体育館,たいいくかん
第一義,だいいちぎ
退院,たいいん
退役,たいえき
体温,たいおん
退化,たいか
大河,たいが
代価,だいか
退会,たいかい
対外,たいがい
体格,たいかく
退学,たいがく
大学,だいがく
大学院,だいがくいん
大観,たいかん
対岸,たいがん
大寒,だいかん
待機,たいき
大義,たいぎ
代議員,だいぎいん
対義語,たいぎご
代議士,だいぎし
大吉,だいきち
大金,たいきん
代金,だいきん
大工,だいく
退屈,たいくつ
大群,たいぐん
体形,たいけい
台形,だいけい
対決,たいけつ
体験,たいけん
体現,たいげん
太古,たいこ
大国,たいこく
太鼓判,たいこばん
醍醐味,だいごみ
大根,だいこん
大佐,たいさ
台座,だいざ
滞在,たいざい
題材,だいざい
大作,たいさく
退散,たいさん
大山,たいざん
大使,たいし
台紙,だいし
退室,たいしつ
対象,たいしょう
対審,たいしん
大臣,だいじん
耐水,たいすい
代数学,だいすうがく
大好き,だいすき
大成,たいせい
大西洋,たいせいよう
堆積,たいせき
大雪,たいせつ
対戦,たいせん
大全,たいぜん
体操,たいそう
大卒,だいそつ
代打,だいだ
代替,だいたい
代々,だいだい
大腿部,だいたいぶ
対談,たいだん
台地,だいち
タイツ,たいつ
退廷,たいてい
大敵,たいてき
態度,たいど
体得,たいとく
代読,だいどく
台所,だいどころ
胎内,たいない
大納言,だいなごん
退任,たいにん
耐熱,たいねつ
大破,たいは
大敗,たいはい
台秤,だいばかり
体罰,たいばつ
大半,たいはん
胎盤,たいばん
対比,たいひ
代筆,だいひつ
代表,だいひょう
貸付,たいふ
退部,たいぶ
台風,たいふう
大福,だいふく
大仏,だいぶつ
台北,たいぺい
太平洋,たいへいよう
大別,たいべつ
代弁,だいべん
退歩,たいほ
大木,たいぼく
台本,だいほん
大麻,たいま
松明,たいまつ
待命,たいめい
題名,だいめい
代名詞,だいめいし
対面,たいめん
題目,だいもく
鯛焼き,たいやき
大役,たいやく
代役,だいやく
貸与,たいよ
太陽,たいよう
代理,だいり
大陸,たいりく
大理石,だいりせき
対立,たいりつ
代理人,だいりにん
大輪,たいりん
隊列,たいれつ
退路,たいろ
対話,たいわ
台湾,たいわん
田植え,たうえ
ダウンロード,だうんろーど
唾液,だえき
絶え間,たえま
楕円,だえん
タオル,たおる
多寡,たか
箍,たが
他界,たかい
互い,たがい
打開,だかい
高鼾,たかいびき
多角,たかく
多角形,たかくけい
高崎,たかさき
駄菓子,だがし
高潮,たかしお
高台,たかだい
高跳び,たかとび
高波,たかなみ
高値,たかね
高望み,たかのぞみ
高橋,たかはし
高松,たかまつ
高床,たかゆか
宝,たから
宝船,たからぶね
宝物,たからもの
滝,たき
多義語,たぎご
タキシード,たきしーど
炊き出し,たきだし
滝壺,たきつぼ
焚き火,たきび
宅,たく
沢庵,たくあん
類い,たぐい
択一,たくいつ
卓越,たくえつ
濁音,だくおん
タクシー,たくしー
宅地,たくち
濁点,だくてん
宅配,たくはい
宅配便,たくはいびん
托鉢,たくはつ
拓本,たくほん
内匠,たくみ
丈,たけ
竹内,たけうち
竹馬,たけうま
竹篭,たけかご
打撃,だげき
丈比べ,たけくらべ
竹細工,たけざいく
妥結,だけつ
竹取,たけとり
竹とんぼ,たけとんぼ
筍,たけのこ
竹藪,たけやぶ
多言,たげん
たこ,たこ
たこやき,たこやき
他言,たごん
多作,たさく
駄作,ださく
多産,たさん
打算,ださん
出汁,だし
出し入れ,だしいれ
タジキスタン,たじきすたん
足し算,たしざん
多湿,たしつ
出し物,だしもの
打診,だしん
襷,たすき
襷掛け,たすきがけ
助け船,たすけぶね
多勢,たぜい
惰性,だせい
打席,だせき
他薦,たせん
打線,だせん
蛇足,だそく
只今,ただいま
三和土,たたき
叩き台,たたきだい
只事,ただごと
直中,ただなか
只乗り,ただのり
畳,たたみ
たたら,たたら
たち,たち
立会,たちあい
立入,たちいり
太刀魚,たちうお
太刀打ち,たちうち
立ち木,たちき
立ち消え,たちぎえ
立ち聞き,たちぎき
立ち食い,たちぐい
立場,たちば
橘,たちばな
立ち見,たちみ
立ち読み,たちよみ
駄賃,だちん
辰,たつ
脱,だつ
脱衣,だつい
ダッカ,だっか
卓球,たっきゅう
脱獄,だつごく
脱税,だつぜい
竜巻,たつまき
脱落,だつらく
脱輪,だつりん
盾,たて
蓼,たで
竪穴,たてあな
縦糸,たていと
建て売り,たてうり
縦書き,たてがき
縦画,たてかく
鬣,たてがみ
建具,たてぐ
竪琴,たてごと
建坪,たてつぼ
縦波,たてなみ
立て膝,たてひざ
縦笛,たてぶえ
立て札,たてふだ
建て前,たてまえ
伊達巻き,だてまき
建て増し,たてまし
建物,たてもの
建屋,たてや
縦揺れ,たてゆれ
縦割り,たてわり
打点,だてん
打電,だでん
多読,たどく
田所,たどころ
棚,たな
棚上げ,たなあげ
棚卸し,たなおろし
田中,たなか
店子,たなこ
たなご,たなご
七夕,たなばた
谷,たに
壁蝨,だに
谷あい,たにあい
谷川,たにがわ
谷底,たにそこ
谷間,たにま
他人,たにん
狸,たぬき
種,たね
種油,たねあぶら
種芋,たねいも
種切れ,たねぎれ
種蒔き,たねまき
多年,たねん
束,たば
打破,だは
多売,たばい
たばこ,たばこ
田畑,たはた
多発,たはつ
旅,たび
旅先,たびさき
旅鳥,たびどり
旅人,たびびと
ダブリン,だぶりん
タブレット,たぶれっと
食べ頃,たべごろ
食べ物,たべもの
拿捕,だほ
打撲,だぼく
弾,たま
玉串,たまぐし
たまご,たまご
卵焼き,たまごやき
魂,たましい
ダマスカス,だますかす
玉突き,たまつき
玉葱,たまねぎ
玉虫,たまむし
賜物,たまもの
溜まり場,たまりば
民,たみ
惰眠,だみん
ダム,だむ
田村,たむら
溜め息,ためいき
溜め池,ためいけ
試し,ためし
多面,ためん
たも,たも
袂,たもと
便り,たより
鱈,たら
盥,たらい
堕落,だらく
鱈子,たらこ
他力,たりき
打率,だりつ
樽,たる
垂木,たるき
タルト,たると
達磨,だるま
たれ,たれ
誰,だれ
垂れ幕,たれまく
タワー,たわー
たわい,たわい
戯言,たわごと
束子,たわし
俵,たわら
痰,たん
団,だん
弾圧,だんあつ
単位,たんい
団員,だんいん
炭化,たんか
タンカー,たんかー
団塊,だんかい
弾劾,だんがい
嘆願,たんがん
弾丸,だんがん
短期,たんき
暖気,だんき
談議,だんぎ
短期大学,たんきだいがく
タンクトップ,たんくとっぷ
団結,だんけつ
探検,たんけん
単元,たんげん
断言,だんげん
単語,たんご
団子,だんご
弾痕,だんこん
探査,たんさ
段差,だんさ
断罪,だんざい
探索,たんさく
短冊,たんざく
タンザニア,たんざにあ
単産,たんさん
短資,たんし
男子,だんし
誕生日,たんじょうび
短針,たんしん
箪笥,たんす
ダンス,だんす
淡水,たんすい
断水,だんすい
丹精,たんせい
弾性,だんせい
断絶,だんぜつ
単線,たんせん
断線,だんせん
炭素,たんそ
嘆息,たんそく
断続,だんぞく
単体,たんたい
短大,たんだい
団体,だんたい
探知,たんち
団地,だんち
探偵,たんてい
断定,だんてい
丹田,たんでん
担当,たんとう
単独,たんどく
段取り,だんどり
旦那,だんな
担任,たんにん
断熱,だんねつ
断念,だんねん
タンバリン,たんばりん
段ボール,だんぼーる
断面,だんめん
弾薬,だんやく
短絡,たんらく
段落,だんらく
団欒,だんらん
暖炉,だんろ
談話,だんわ
治安,ちあん
地位,ちい
地域,ちいき
小さい,ちいさい
チーズ,ちーず
チーズケーキ,ちーずけーき
チーム,ちーむ
地衣類,ちいるい
知恵,ちえ
チェコ,ちぇこ
チェック,ちぇっく
チェロ,ちぇろ
遅延,ちえん
知恩,ちおん
地下,ちか
地階,ちかい
違い棚,ちがいだな
知覚,ちかく
地学,ちがく
地下茎,ちかけい
近頃,ちかごろ
地下鉄,ちかてつ
近場,ちかば
近道,ちかみち
力,ちから
力添え,ちからぞえ
置換,ちかん
知己,ちき
千木,ちぎ
地球,ちきゅう
地球儀,ちきゅうぎ
地銀,ちぎん
地区,ちく
蓄音機,ちくおんき
千草,ちぐさ
蓄財,ちくざい
畜産,ちくさん
蓄積,ちくせき
乳首,ちくび
竹輪,ちくわ
地形,ちけい
地検,ちけん
稚児,ちご
遅刻,ちこく
地裁,ちさい
治山,ちさん
血潮,ちしお
知識,ちしき
地質,ちしつ
知新,ちしん
地図,ちず
治水,ちすい
地図帳,ちずちょう
地勢,ちせい
地政学,ちせいがく
地層,ちそう
遅滞,ちたい
乳,ちち
父上,ちちうえ
父親,ちちおや
父方,ちちかた
膣,ちつ
秩序,ちつじょ
窒素,ちっそ
ちっちゃい,ちっちゃい
地底,ちてい
地点,ちてん
千鳥,ちどり
地熱,ちねつ
血の気,ちのけ
チノパン,ちのぱん
乳飲み子,ちのみご
千葉,ちば
遅配,ちはい
ちび,ちび
乳房,ちぶさ
地平,ちへい
地歩,ちほ
粽,ちまき
巷,ちまた
血眼,ちまなこ
血豆,ちまめ
血道,ちみち
地名,ちめい
知名度,ちめいど
茶色い,ちゃいろい
チャド,ちゃど
茶碗,ちゃわん
治癒,ちゆ
注意,ちゅうい
中央,ちゅうおう
中学校,ちゅうがっこう
中国,ちゅうごく
中国茶,ちゅうごくちゃ
中古本,ちゅうこぼん
中止,ちゅうし
駐車,ちゅうしゃ
駐車場,ちゅうしゃじょう
中心,ちゅうしん
中とろ,ちゅうとろ
チューバ,ちゅーば
注目,ちゅうもく
チューリッヒ,ちゅーりっひ
中和,ちゅうわ
ちゅっと,ちゅっと
チュニジア,ちゅにじあ
ちゅるん,ちゅるん
ちゅんちゅん,ちゅんちゅん
千代,ちよ
彫刻刀,ちょうこくとう
調査,ちょうさ
調子,ちょうし
頂上,ちょうじょう
挑戦,ちょうせん
蝶々,ちょうちょう
頂点,ちょうてん
蝶ネクタイ,ちょうねくたい
調味料,ちょうみりょう
鳥類,ちょうるい
調和,ちょうわ
チョーク,ちょーく
千代紙,ちよがみ
貯金,ちょきん
直接,ちょくせつ
チョコレート,ちょこれーと
貯蓄,ちょちく
直径,ちょっけい
地理,ちり
塵紙,ちりがみ
縮緬,ちりめん
治療,ちりょう
亭,ちん
賃上げ,ちんあげ
鎮圧,ちんあつ
沈下,ちんか
賃金,ちんぎん
鎮魂,ちんこん
鎮座,ちんざ
沈静,ちんせい
沈潜,ちんせん
沈滞,ちんたい
沈殿,ちんでん
陳列,ちんれつ
対,つい
追憶,ついおく
追加,ついか
追記,ついき
対句,ついく
追撃,ついげき
対語,ついご
追試,ついし
追伸,ついしん
追跡,ついせき
衝立,ついたて
追突,ついとつ
追認,ついにん
追肥,ついひ
追尾,ついび
墜落,ついらく
通信,つうしん
通知,つうち
通訳,つうやく
通路,つうろ
通話,つうわ
杖,つえ
つがい,つがい
使い出,つかいで
使い物,つかいもの
束の間,つかのま
月,つき
次,つぎ
月後れ,つきおくれ
接ぎ木,つぎき
月極め,つきぎめ
付ききり,つききり
月ごと,つきごと
付添,つきそい
月中,つきなか
継ぎ接ぎ,つぎはぎ
月日,つきひ
付き人,つきびと
月別,つきべつ
月見,つきみ
継ぎ目,つぎめ
付き物,つきもの
築山,つきやま
突き指,つきゆび
月夜,つきよ
月割り,つきわり
机,つくえ
土筆,つくし
佃煮,つくだに
旁,つくり
作り手,つくりて
告げ口,つげぐち
付け根,つけね
付け目,つけめ
漬け物,つけもの
蔦,つた
土,つち
槌音,つちおと
土偏,つちへん
筒,つつ
筒そで,つつそで
筒抜け,つつぬけ
堤,つつみ
鼓,つづみ
つて,つて
都度,つど
勉,つとめ
勤め人,つとめにん
綱,つな
つなぎ,つなぎ
繋ぎ目,つなぎめ
綱具,つなぐ
綱引き,つなひき
津波,つなみ
常,つね
角,つの
角笛,つのぶえ
唾,つば
椿,つばき
翼,つばさ
燕,つばめ
ツバル,つばる
粒,つぶ
つぶ貝,つぶがい
粒揃い,つぶぞろい
粒選り,つぶより
つぶら,つぶら
つぶらな瞳,つぶらなひとみ
坪,つぼ
蕾,つぼみ
妻,つま
爪先,つまさき
罪,つみ
積み木,つみき
摘み草,つみくさ
積立,つみたて
積み荷,つみに
紬,つむぎ
爪,つめ
爪痕,つめあと
詰め襟,つめえり
艶,つや
つやつや,つやつや
梅雨,つゆ
梅雨明け,つゆあけ
梅雨入り,つゆいり
強腰,つよごし
強火,つよび
面当て,つらあて
面構え,つらがまえ
氷柱,つらら
釣り,つり
吊り上げ,つりあげ
釣り糸,つりいと
釣り鐘,つりがね
吊り革,つりかわ
釣り具,つりぐ
釣り竿,つりざお
釣り銭,つりせん
吊り橋,つりばし
釣り針,つりばり
釣り人,つりびと
釣り堀,つりぼり
吊り輪,つりわ
蔓,つる
蔓草,つるくさ
つるつる,つるつる
鶴嘴,つるはし
釣瓶,つるべ
つるるん,つるるん
連れ合い,つれあい
つわもの,つわもの
つわり,つわり
つんつん,つんつん
手垢,てあか
手足,てあし
出足,であし
手当て,てあて
手編み,てあみ
手洗い,てあらい
低圧,ていあつ
提案,ていあん
定員,ていいん
庭園,ていえん
低温,ていおん
低下,ていか
停学,ていがく
定款,ていかん
泥岩,でいがん
提起,ていき
定義,ていぎ
定期券,ていきけん
提携,ていけい
締結,ていけつ
定見,ていけん
低減,ていげん
抵抗,ていこう
定刻,ていこく
体裁,ていさい
偵察,ていさつ
停止,ていし
ディジュリドゥ,でぃじゅりどぅ
挺身,ていしん
泥酔,でいすい
ディスプレイ,でぃすぷれい
訂正,ていせい
定説,ていせつ
停戦,ていせん
提訴,ていそ
停滞,ていたい
邸宅,ていたく
低地,ていち
定置網,ていちあみ
定点,ていてん
停電,ていでん
帝都,ていと
程度,ていど
提督,ていとく
定年,ていねん
停泊,ていはく
剃髪,ていはつ
定番,ていばん
底部,ていぶ
底辺,ていへん
低木,ていぼく
弟妹,ていまい
低迷,ていめい
底面,ていめん
締約,ていやく
低落,ていらく
低利,ていり
出入り,でいり
鼎立,ていりつ
手入れ,ていれ
定例,ていれい
低廉,ていれん
ティンパニ,てぃんぱに
手打ち,てうち
データ,でーた
データベース,でーたべーす
テーマパーク,てーまぱーく
手負い,ておい
手桶,ておけ
手落ち,ておち
手織り,ており
でか,でか
手掛かり,てがかり
手書き,てがき
出掛け,でがけ
出かける,でかける
手加減,てかげん
出稼ぎ,でかせぎ
手形,てがた
出方,でかた
手紙,てがみ
手柄,てがら
出涸らし,でがらし
敵,てき
出来合い,できあい
敵意,てきい
テキーラ,てきーら
適温,てきおん
敵国,てきこく
出来心,できごころ
出来事,できごと
適材,てきざい
敵視,てきし
適性,てきせい
敵対,てきたい
出来高,できだか
敵地,てきち
出来栄え,できばえ
摘発,てきはつ
適否,てきひ
出来物,できもの
適役,てきやく
適齢期,てきれいき
手際,てぎわ
テグシガルパ,てぐしがるぱ
手癖,てくせ
手口,てぐち
出口,でぐち
てくてく,てくてく
手配り,てくばり
手首,てくび
梃子,てこ
デコ,でこ
梃入れ,てこいれ
手漕ぎ,てこぎ
手心,てごころ
手応え,てごたえ
デザイナー,でざいなー
デザイン,でざいん
出盛り,でさかり
手先,てさき
出先,でさき
手探り,てさぐり
手提げ,てさげ
手触り,てざわり
弟子,でし
弟子入り,でしいり
手下,てした
手漉き,てすき
手摺り,てすり
手製,てせい
手出し,てだし
出だし,でだし
手助け,てだすけ
手立て,てだて
手玉,てだま
手練,てだれ
手違い,てちがい
手帳,てちょう
鉄,てつ
手番,てつがい
哲学,てつがく
鉄火巻き,てっかまき
手付き,てつき
鉄琴,てっきん
手付け,てつけ
鉄材,てつざい
鉄製,てつせい
手続き,てつづき
鉄瓶,てつびん
鉄分,てつぶん
徹夜,てつや
鉄腕,てつわん
手直し,てなおし
手並み,てなみ
手習い,てならい
テニス,てにす
テニスコート,てにすこーと
手抜かり,てぬかり
手抜き,てぬき
手拭い,てぬぐい
手の平,てのひら
手羽,てば
出刃,でば
デパート,でぱーと
手配,てはい
出端,でばな
出番,でばん
手引き,てびき
手拭き,てふき
手袋,てぶくろ
出船,でふね
手振り,てぶり
デフレーション,でふれーしょん
テヘラン,てへらん
手偏,てへん
手解き,てほどき
手本,てほん
手間,てま
手前,てまえ
出前,でまえ
出窓,でまど
手招き,てまねき
手間隙,てまひま
手回し,てまわし
手回り,てまわり
出店,でみせ
手持ち,てもち
手元,てもと
出物,でもの
手役,てやく
寺,てら
寺子屋,てらこや
照り焼き,てりやき
テレビ,てれび
手分け,てわけ
典,てん
電圧,でんあつ
転移,てんい
電位,でんい
店員,てんいん
田園,でんえん
添加,てんか
電化,でんか
展開,てんかい
天下一,てんかいち
点画,てんかく
田楽,でんがく
転換,てんかん
転記,てんき
伝記,でんき
電気ケトル,でんきけとる
天気予報,てんきよほう
転勤,てんきん
天狗,てんぐ
天草,てんぐさ
典型,てんけい
電撃,でんげき
点検,てんけん
電源,でんげん
点呼,てんこ
篆刻,てんこく
天国,てんごく
伝言,でんごん
点差,てんさ
転載,てんさい
点在,てんざい
添削,てんさく
電算,でんさん
天使,てんし
電子,でんし
電車,でんしゃ
電子レンジ,でんしれんじ
転身,てんしん
田紳,でんしん
転生,てんせい
転籍,てんせき
転戦,てんせん
伝染,でんせん
天体,てんたい
電卓,でんたく
伝達,でんたつ
転地,てんち
田地,でんち
天敵,てんてき
電鉄,でんてつ
転轍機,てんてつき
テント,てんと
伝統,でんとう
てんとう虫,てんとうむし
天丼,てんどん
転任,てんにん
電熱,でんねつ
天然,てんねん
天王寺,てんのうじ
添付ファイル,てんぷふぁいる
天ぷら,てんぷら
展望台,てんぼうだい
デンマーク,でんまーく
点訳,てんやく
伝来,でんらい
転落,てんらく
展覧,てんらん
天理,てんり
電流,でんりゅう
伝令,でんれい
電炉,でんろ
電話,でんわ
ドア,どあ
度合い,どあい
投網,とあみ
問,とい
吐息,といき
砥石,といし
トイレ,といれ
塔,とう
銅,どう
動画,どうが
道着,どうぎ
東京,とうきょう
道具,どうぐ
統計,とうけい
統合,とうごう
投資,とうし
当時,とうじ
同情,どうじょう
灯台,とうだい
道庁,どうちょう
道徳,どうとく
豆乳,とうにゅう
豆腐,とうふ
動物,どうぶつ
動物園,どうぶつえん
同様,どうよう
道路,どうろ
都営,とえい
トーゴ,とーご
トートバッグ,とーとばっぐ
ドーナツ,どーなつ
ドーハ,どーは
都下,とか
都会,とかい
度外視,どがいし
土管,どかん
時,とき
都議,とぎ
土器,どき
鴇色,ときいろ
度肝,どぎも
常磐,ときわ
常磐木,ときわぎ
徳,とく
毒,どく
得意顔,とくいがお
得意先,とくいさき
独学,どくがく
特技,とくぎ
読後,どくご
独裁,どくさい
得策,とくさく
特撮,とくさつ
特産,とくさん
特使,とくし
得失,とくしつ
徳島,とくしま
得心,とくしん
独身,どくしん
特製,とくせい
毒性,どくせい
特設,とくせつ
毒舌,どくぜつ
特選,とくせん
独占,どくせん
独善,どくぜん
毒素,どくそ
督促,とくそく
特大,とくだい
どくだみ,どくだみ
独断,どくだん
戸口,とぐち
毒血,どくち
特定,とくてい
得点,とくてん
得度,とくど
読破,どくは
特売,とくばい
特派員,とくはいん
独白,どくはく
特番,とくばん
特筆,とくひつ
毒物,どくぶつ
独文,どくぶん
読本,とくほん
毒見,どくみ
特務,とくむ
毒虫,どくむし
匿名,とくめい
徳目,とくもく
特約,とくやく
毒薬,どくやく
徳利,とくり
独立,どくりつ
戸車,とぐるま
督励,とくれい
とぐろ,とぐろ
髑髏,どくろ
刺,とげ
時計,とけい
土下座,どげざ
吐血,とけつ
土建,どけん
床,とこ
床上げ,とこあげ
とこしえ,とこしえ
常夏,とこなつ
床の間,とこのま
床屋,とこや
所,ところ
所書き,ところがき
心太,ところてん
とさか,とさか
外様,とざま
登山,とざん
登山口,とざんぐち
年,とし
年上,としうえ
年男,としおとこ
年女,としおんな
年嵩,としかさ
年子,としご
年越し,としこし
年頃,としごろ
年下,としした
土質,どしつ
年半,としなか
年の瀬,としのせ
戸締まり,とじまり
図書館員,としょかんいん
年寄り,としより
都心,としん
渡世,とせい
都税,とぜい
土星,どせい
途絶,とぜつ
屠蘇,とそ
土足,どそく
土台,どだい
戸棚,とだな
途端,とたん
土地,とち
土地柄,とちがら
栃木,とちぎ
都庁,とちょう
どちら,どちら
凸,とつ
突撃,とつげき
ドット,どっと
鳥取,とっとり
土手,どて
徒弟,とてい
どてら,どてら
都電,とでん
届,とどけ
届出,とどけいで
どなた,どなた
隣り,となり
隣組,となりぐみ
殿,との
殿様,とのさま
賭博,とばく
鳶,とび
飛び石,とびいし
飛び入り,とびいり
鳶色,とびいろ
飛魚,とびうお
鳶口,とびぐち
とびこ,とびこ
跳び箱,とびばこ
飛び火,とびひ
扉,とびら
土瓶,どびん
都府県,とふけん
徒歩,とほ
土木,どぼく
土間,どま
戸前,とまえ
トマト,とまと
止まり木,とまりぎ
富,とみ
都民,とみん
ドメイン,どめいん
留め金,とめがね
留め具,とめぐ
止め処,とめど
留め針,とめばり
供,とも
共食い,ともぐい
灯し火,ともしび
共倒れ,ともだおれ
友達,ともだち
富山,とやま
寅,とら
渡来,とらい
トライアスロン,とらいあすろん
トライアングル,とらいあんぐる
ドライヤー,どらいやー
銅鑼声,どらごえ
トラック,とらっく
ドラッグストア,どらっぐすとあ
虎の子,とらのこ
虎の巻,とらのまき
ドラム,どらむ
どら焼き,どらやき
トランペット,とらんぺっと
酉,とり
鳥居,とりい
ドリーミー,どりーみー
取り柄,とりえ
とり貝,とりがい
鳥かご,とりかご
取り口,とりくち
取組,とりくみ
虜,とりこ
鳥小屋,とりごや
取りざた,とりざた
都立,とりつ
砦,とりで
取り留め,とりとめ
鳥肉,とりにく
鳥肌,とりはだ
取り引き,とりひき
鳥目,とりめ
努力,どりょく
ドル,どる
トルコ,とるこ
奴隷,どれい
トレーナー,とれーなー
ドレス,どれす
取れ高,とれだか
ドレッシング,どれっしんぐ
とろ,とろ
泥,どろ
ドローン,どろーん
とろける,とろける
泥縄,どろなわ
泥沼,どろぬま
とろ火,とろび
とろみ,とろみ
とろろ,とろろ
トロント,とろんと
トロンボーン,とろんぼーん
度忘れ,どわすれ
鈍,どん
トンガ,とんが
鈍化,どんか
鈍角,どんかく
どんぐり,どんぐり
頓挫,とんざ
どん底,どんぞこ
頓知,とんち
曇天,どんてん
トンネル,とんねる
問屋,とんや
内縁,ないえん
内科,ないか
内海,ないかい
内外,ないがい
内角,ないかく
内規,ないき
内径,ないけい
内国,ないこく
内在,ないざい
ナイジェリア,ないじぇりあ
内省,ないせい
内戦,ないせん
内諾,ないだく
内地,ないち
内偵,ないてい
ナイトクラブ,ないとくらぶ
ナイフ,ないふ
内部,ないぶ
内紛,ないふん
内分,ないぶん
内壁,ないへき
内膜,ないまく
内務,ないむ
内面,ないめん
内野,ないや
内乱,ないらん
内陸,ないりく
ナイロビ,ないろび
ナウル,なうる
苗,なえ
苗木,なえぎ
苗床,なえどこ
名折れ,なおれ
中,なか
長雨,ながあめ
長居,ながい
長生き,ながいき
中入り,なかいり
長唄,ながうた
中落ち,なかおち
仲買,なかがい
中川,なかがわ
長靴,ながぐつ
中頃,なかごろ
長崎,ながさき
流し台,ながしだい
中島,なかじま
中州,なかす
長袖,ながそで
仲違い,なかたがい
仲立ち,なかだち
長旅,ながたび
中弛み,なかだるみ
中継ぎ,なかつぎ
長月,ながつき
中点,なかてん
仲直り,なかなおり
中庭,なかにわ
長年,ながねん
中野,なかの
長野,ながの
中日,なかび
中程,なかほど
仲間,なかま
仲間内,なかまうち
中身,なかみ
中村,なかむら
長持ち,ながもち
長屋,ながや
中休み,なかやすみ
中山,なかやま
長湯,ながゆ
中指,なかゆび
仲良し,なかよし
流れ弾,ながれだま
凪,なぎ
泣き顔,なきがお
泣き声,なきごえ
泣き言,なきごと
渚,なぎさ
なぎなた,なぎなた
泣きべそ,なきべそ
泣き虫,なきむし
慰み,なぐさみ
投げ売り,なげうり
なけなし,なけなし
投げ槍,なげやり
名古屋,なごや
名残り,なごり
情け,なさけ
梨,なし
茄子,なす
謎,なぞ
謎解き,なぞとき
謎々,なぞなぞ
鉈,なた
灘,なだ
菜種,なたね
雪崩,なだれ
夏,なつ
捺印,なついん
夏枯れ,なつがれ
納豆,なっとう
納豆巻き,なっとうまき
夏場,なつば
夏ばて,なつばて
夏物,なつもの
撫子,なでしこ
なでなで,なでなで
ナトリウム,なとりうむ
七色,なないろ
七草,ななくさ
七光,ななひかり
何,なに
なにがし,なにがし
何事,なにごと
何物,なにもの
名主,なぬし
菜の花,なのはな
名乗り,なのり
那覇,なは
名札,なふだ
鍋,なべ
鍋蓋,なべぶた
生,なま
名前,なまえ
生菓子,なまがし
生木,なまき
怠け者,なまけもの
なまこ,なまこ
生塵,なまごみ
生魚,なまざかな
生卵,なまたまご
生煮え,なまにえ
生剥げ,なまはげ
生身,なまみ
生物,なまもの
鉛,なまり
並み,なみ
波風,なみかぜ
並木,なみき
並製,なみせい
涙,なみだ
涙声,なみだごえ
波乗り,なみのり
ナミビア,なみびあ
波間,なみま
なめこ,なめこ
納屋,なや
名寄せ,なよせ
奈良,なら
奈落,ならく
習わし,ならわし
なり,なり
成り金,なりきん
形振り,なりふり
鳴り物,なりもの
成り行き,なりゆき
生業,なりわい
鳴子,なるこ
縄,なわ
縄跳び,なわとび
縄張り,なわばり
南下,なんか
南海,なんかい
